video_index,publishedAt,duration,viewCount,likeCount,commentCount,categoryId,channel_ids.Indice
343,2024-10-08 01:15:10,00:01:00,904424,37291,429,28,343
373,2024-09-28 21:53:15,00:01:00,2712832,137007,825,28,373
376,2024-09-23 15:48:01,00:01:00,1659555,90894,260,28,376
383,2024-09-24 20:03:24,00:01:00,4164254,317744,5913,28,383
409,2024-09-23 17:01:00,00:01:00,3551143,322346,3260,28,409
435,2024-10-13 19:30:00,00:01:00,548376,9779,1085,28,435
544,2024-10-14 20:42:31,00:01:00,1169922,48699,1775,17,544
550,2024-10-14 17:09:00,00:01:00,1023306,73352,589,17,550
554,2024-10-09 00:30:59,00:01:00,6057720,222904,1344,17,554
566,2024-10-14 23:09:25,00:01:00,613533,43513,931,17,566
587,2024-10-13 14:00:45,00:01:00,1017839,30299,260,17,587
591,2024-10-12 16:11:13,00:01:00,786285,50882,1884,17,591
611,2024-10-07 17:57:08,00:01:00,1482425,71625,1929,17,611
624,2024-10-13 08:36:28,00:01:00,636424,38548,941,17,624
637,2024-10-08 23:30:03,00:01:00,1564880,71178,245,17,637
652,2024-10-08 04:02:45,00:01:00,2204988,94186,1088,17,652
693,2024-10-12 12:12:00,00:01:00,551879,31909,132,17,693
703,2024-10-05 18:39:46,00:01:00,3521829,77657,387,17,703
705,2024-10-08 00:02:56,00:01:00,1586197,57423,194,17,243
12,2024-10-11 08:50:20,00:01:01,5699856,238191,3368,1,12
35,2024-10-17 03:06:14,00:01:01,1111288,60786,231,1,35
53,2024-10-14 23:00:54,00:01:01,1705996,268710,948,1,53
59,2024-10-12 00:34:35,00:01:01,3346566,239632,223,1,59
62,2024-10-06 16:00:08,00:01:01,19031441,1176517,7029,1,62
79,2024-10-03 07:21:59,00:01:01,10084471,769933,4347,1,79
98,2024-10-12 20:06:03,00:01:01,3070555,172874,1174,1,98
131,2024-10-10 03:59:45,00:01:01,2772088,75422,666,1,131
146,2024-10-09 02:11:38,00:01:01,1642314,55347,3842,1,146
165,2024-10-03 23:12:31,00:01:01,10933670,961276,10220,1,165
178,2024-10-09 01:16:40,00:01:01,3465365,174726,1098,1,178
187,2024-10-05 15:48:00,00:01:01,4613707,365998,509,1,187
196,2024-10-12 21:41:19,00:01:01,1532647,62970,432,1,196
197,2024-10-09 06:27:35,00:01:01,4322942,321330,200,1,197
314,2024-10-04 08:23:09,00:01:01,3595338,97734,1252,28,314
341,2024-10-10 17:53:47,00:01:01,1015791,39770,1236,28,341
358,2024-09-21 13:30:01,00:01:01,543323,22065,73,28,358
374,2024-10-08 15:57:34,00:01:01,929928,75664,370,28,374
455,2024-10-08 22:11:52,00:01:01,749621,62532,1056,28,455
501,2024-10-01 15:37:38,00:01:01,7017127,391597,1761,28,501
509,2024-09-11 13:34:55,00:01:01,3970707,153549,1762,28,509
518,2024-10-13 18:29:22,00:01:01,2980511,209346,592,17,518
592,2024-10-14 02:18:11,00:01:01,641833,18486,108,17,592
606,2024-10-08 10:08:59,00:01:01,782671,45566,110,17,606
608,2024-10-07 22:36:02,00:01:01,1378962,75410,3611,17,608
659,2024-10-04 17:26:16,00:01:01,1393303,78401,1662,17,659
677,2024-10-14 04:35:50,00:01:01,532717,18718,263,17,677
680,2024-10-12 20:14:09,00:01:01,320348,19124,285,17,680
228,2024-10-18 03:00:09,00:01:08,197788,15496,2966,20,228
229,2024-10-17 19:20:09,00:01:20,118280,6139,660,20,70
203,2024-10-17 19:41:44,00:01:20,1331878,152735,13628,20,203
260,2024-10-17 18:00:23,00:01:21,144949,8569,1094,20,260
214,2024-10-17 08:22:27,00:01:25,2574055,84709,240,20,214
346,2024-10-17 01:49:38,00:01:42,147176,3528,630,28,346
296,2024-10-16 18:19:10,00:01:44,376002,22464,1357,20,296
277,2024-10-16 17:00:01,00:02:05,539454,41173,1600,20,277
451,2024-10-10 05:55:44,00:02:13,3040551,55311,952,28,451
209,2024-10-17 09:00:20,00:02:26,8791847,305968,9792,20,209
398,2024-10-15 14:58:11,00:02:44,376958,10408,868,28,398
674,2024-10-13 01:13:52,00:03:07,511063,5754,3324,17,674
411,2024-10-15 17:47:24,00:03:10,85126,1417,402,28,411
492,2024-10-04 16:00:04,00:03:17,363237,6920,1509,28,492
430,2024-10-16 19:45:34,00:03:45,133553,8971,511,28,430
261,2024-10-17 13:00:45,00:04:05,11145,6,96,20,261
360,2024-10-15 20:31:20,00:04:29,940773,42769,2890,28,360
305,2024-10-16 19:00:04,00:04:30,345939,23875,1562,20,305
219,2024-10-17 16:58:06,00:05:07,343795,32527,2230,20,219
205,2024-10-18 06:30:37,00:05:24,29045,1006,34,20,205
273,2024-10-17 14:01:04,00:05:33,9569,11,535,20,273
266,2024-10-17 17:51:28,00:05:39,17877,5,44,20,266
293,2024-10-17 11:00:06,00:05:47,14070,30,604,20,293
420,2024-10-15 13:15:04,00:05:59,192345,12253,2427,28,420
359,2024-10-16 15:00:09,00:06:08,232308,4863,395,28,359
431,2024-10-17 21:31:07,00:06:10,64898,6420,1341,28,431
